// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\PerformanceMeetup\Bdn1\bin\Release\netcoreapp2.2\2ec7b7b0-5bc2-422f-864a-37b9012102f3
// command took 1.27s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\PerformanceMeetup\Bdn1\bin\Release\netcoreapp2.2\2ec7b7b0-5bc2-422f-864a-37b9012102f3
// command took 2.64s and exited with 0
// ***** Done, took 00:00:04 (4.03 sec)   *****
// Found 6 benchmarks:
//   ListsBenchmark2.Sum_ByIndex: DefaultJob [N=15]
//   ListsBenchmark2.Sum_Foreach: DefaultJob [N=15]
//   ListsBenchmark2.Sum_Linq: DefaultJob [N=15]
//   ListsBenchmark2.Sum_ByIndex: DefaultJob [N=30]
//   ListsBenchmark2.Sum_Foreach: DefaultJob [N=30]
//   ListsBenchmark2.Sum_Linq: DefaultJob [N=30]

// **************************
// Benchmark: ListsBenchmark2.Sum_ByIndex: DefaultJob [N=15]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2ec7b7b0-5bc2-422f-864a-37b9012102f3.dll" --benchmarkName "Bdn1.ListsBenchmark2.Sum_ByIndex(N: 15)" --job "Default" --benchmarkId 0 in C:\Dev\PerformanceMeetup\Bdn1\bin\Release\netcoreapp2.2\2ec7b7b0-5bc2-422f-864a-37b9012102f3\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 455900.00 ns, 455.9000 us/op
WorkloadJitting  1: 1 op, 286900.00 ns, 286.9000 us/op

OverheadJitting  2: 16 op, 464300.00 ns, 29.0188 us/op
WorkloadJitting  2: 16 op, 476500.00 ns, 29.7813 us/op

WorkloadPilot    1: 16 op, 2100.00 ns, 131.2500 ns/op
WorkloadPilot    2: 32 op, 900.00 ns, 28.1250 ns/op
WorkloadPilot    3: 64 op, 1300.00 ns, 20.3125 ns/op
WorkloadPilot    4: 128 op, 2400.00 ns, 18.7500 ns/op
WorkloadPilot    5: 256 op, 3800.00 ns, 14.8438 ns/op
WorkloadPilot    6: 512 op, 6400.00 ns, 12.5000 ns/op
WorkloadPilot    7: 1024 op, 11300.00 ns, 11.0352 ns/op
WorkloadPilot    8: 2048 op, 20900.00 ns, 10.2051 ns/op
WorkloadPilot    9: 4096 op, 39900.00 ns, 9.7412 ns/op
WorkloadPilot   10: 8192 op, 85100.00 ns, 10.3882 ns/op
WorkloadPilot   11: 16384 op, 154600.00 ns, 9.4360 ns/op
WorkloadPilot   12: 32768 op, 304400.00 ns, 9.2896 ns/op
WorkloadPilot   13: 65536 op, 629300.00 ns, 9.6024 ns/op
WorkloadPilot   14: 131072 op, 1296100.00 ns, 9.8885 ns/op
WorkloadPilot   15: 262144 op, 2504800.00 ns, 9.5551 ns/op
WorkloadPilot   16: 524288 op, 4889600.00 ns, 9.3262 ns/op
WorkloadPilot   17: 1048576 op, 10208800.00 ns, 9.7359 ns/op
WorkloadPilot   18: 2097152 op, 19432600.00 ns, 9.2662 ns/op
WorkloadPilot   19: 4194304 op, 38641300.00 ns, 9.2128 ns/op
WorkloadPilot   20: 8388608 op, 77837300.00 ns, 9.2789 ns/op
WorkloadPilot   21: 16777216 op, 156150300.00 ns, 9.3073 ns/op
WorkloadPilot   22: 33554432 op, 310388000.00 ns, 9.2503 ns/op
WorkloadPilot   23: 67108864 op, 623818400.00 ns, 9.2956 ns/op

OverheadWarmup   1: 67108864 op, 92288900.00 ns, 1.3752 ns/op
OverheadWarmup   2: 67108864 op, 92363900.00 ns, 1.3763 ns/op
OverheadWarmup   3: 67108864 op, 92196900.00 ns, 1.3738 ns/op
OverheadWarmup   4: 67108864 op, 92069800.00 ns, 1.3719 ns/op
OverheadWarmup   5: 67108864 op, 92049500.00 ns, 1.3716 ns/op
OverheadWarmup   6: 67108864 op, 92045900.00 ns, 1.3716 ns/op
OverheadWarmup   7: 67108864 op, 92086800.00 ns, 1.3722 ns/op
OverheadWarmup   8: 67108864 op, 92073900.00 ns, 1.3720 ns/op

OverheadActual   1: 67108864 op, 92067100.00 ns, 1.3719 ns/op
OverheadActual   2: 67108864 op, 93715000.00 ns, 1.3965 ns/op
OverheadActual   3: 67108864 op, 92055700.00 ns, 1.3717 ns/op
OverheadActual   4: 67108864 op, 92229200.00 ns, 1.3743 ns/op
OverheadActual   5: 67108864 op, 90691700.00 ns, 1.3514 ns/op
OverheadActual   6: 67108864 op, 91016600.00 ns, 1.3563 ns/op
OverheadActual   7: 67108864 op, 92603700.00 ns, 1.3799 ns/op
OverheadActual   8: 67108864 op, 92241900.00 ns, 1.3745 ns/op
OverheadActual   9: 67108864 op, 91162100.00 ns, 1.3584 ns/op
OverheadActual  10: 67108864 op, 92136800.00 ns, 1.3729 ns/op
OverheadActual  11: 67108864 op, 92140800.00 ns, 1.3730 ns/op
OverheadActual  12: 67108864 op, 92104800.00 ns, 1.3725 ns/op
OverheadActual  13: 67108864 op, 93234700.00 ns, 1.3893 ns/op
OverheadActual  14: 67108864 op, 91579200.00 ns, 1.3646 ns/op
OverheadActual  15: 67108864 op, 91665900.00 ns, 1.3659 ns/op

WorkloadWarmup   1: 67108864 op, 617308500.00 ns, 9.1986 ns/op
WorkloadWarmup   2: 67108864 op, 621683300.00 ns, 9.2638 ns/op
WorkloadWarmup   3: 67108864 op, 620570700.00 ns, 9.2472 ns/op
WorkloadWarmup   4: 67108864 op, 618699700.00 ns, 9.2193 ns/op
WorkloadWarmup   5: 67108864 op, 619818200.00 ns, 9.2360 ns/op
WorkloadWarmup   6: 67108864 op, 618149100.00 ns, 9.2111 ns/op

// BeforeActualRun
WorkloadActual   1: 67108864 op, 621054900.00 ns, 9.2544 ns/op
WorkloadActual   2: 67108864 op, 619363100.00 ns, 9.2292 ns/op
WorkloadActual   3: 67108864 op, 618640300.00 ns, 9.2185 ns/op
WorkloadActual   4: 67108864 op, 632785700.00 ns, 9.4292 ns/op
WorkloadActual   5: 67108864 op, 620879700.00 ns, 9.2518 ns/op
WorkloadActual   6: 67108864 op, 619383600.00 ns, 9.2295 ns/op
WorkloadActual   7: 67108864 op, 625177800.00 ns, 9.3159 ns/op
WorkloadActual   8: 67108864 op, 621730700.00 ns, 9.2645 ns/op
WorkloadActual   9: 67108864 op, 621400900.00 ns, 9.2596 ns/op
WorkloadActual  10: 67108864 op, 635099400.00 ns, 9.4637 ns/op
WorkloadActual  11: 67108864 op, 622574600.00 ns, 9.2771 ns/op
WorkloadActual  12: 67108864 op, 640734500.00 ns, 9.5477 ns/op
WorkloadActual  13: 67108864 op, 622742300.00 ns, 9.2796 ns/op
WorkloadActual  14: 67108864 op, 630730000.00 ns, 9.3986 ns/op
WorkloadActual  15: 67108864 op, 628852700.00 ns, 9.3706 ns/op

// AfterActualRun
